,item_sku_id,dc_id,date,quantity,vendibility,original_price,discount
56682,21,1,2016-01-01,0.0,1.0,,
3592,22,0,2016-01-01,2.0,1.0,0.00350043755469,10.0
40486,23,0,2016-01-01,0.0,1.0,,
897,27,0,2016-01-01,5.0,1.0,0.0120015001875,9.16666666667
65728,2,1,2016-01-01,0.0,1.0,,
58736,37,1,2016-01-01,6.0,1.0,0.00123765470684,10.0
52899,32,2,2016-01-01,0.0,1.0,,
8963,36,3,2016-01-01,0.0,1.0,,
24814,38,1,2016-01-01,0.0,1.0,,
25796,27,2,2016-01-01,0.0,1.0,,
16459,38,0,2016-01-01,0.0,1.0,,
21398,23,2,2016-01-01,1.0,1.0,0.00971371421428,10.0
51289,38,2,2016-01-01,0.0,1.0,,
65790,36,0,2016-01-01,0.0,1.0,,
30523,26,0,2016-01-01,9.0,1.0,0.0361295161895,9.30795847751
55635,6,2,2016-01-01,0.0,1.0,,
63749,27,0,2016-01-02,0.0,1.0,,
69531,36,2,2016-01-02,0.0,0.0,,
68386,37,0,2016-01-02,26.0,1.0,0.00123765470684,10.0
43401,21,1,2016-01-02,1.0,1.0,0.00373796724591,10.0
59447,22,2,2016-01-02,0.0,1.0,,
2669,37,1,2016-01-02,12.0,1.0,0.00123765470684,10.0
60218,27,1,2016-01-02,0.0,1.0,,
22564,23,1,2016-01-02,0.0,0.0,,
37560,28,0,2016-01-02,6.0,1.0,0.0112389048631,4.4382647386
45807,32,0,2016-01-02,4.0,1.0,0.00236279534942,10.0
7644,37,3,2016-01-02,2.0,1.0,0.00123765470684,10.0
32166,28,2,2016-01-02,1.0,1.0,0.0112389048631,4.4382647386
26526,32,2,2016-01-02,0.0,1.0,,
68320,28,3,2016-01-02,2.0,1.0,0.0112389048631,4.4382647386
15468,8,0,2016-01-02,0.0,1.0,,
51382,2,0,2016-01-02,0.0,1.0,,
70024,13,1,2016-01-02,2.0,1.0,0.00225028128516,10.0
45269,22,0,2016-01-02,3.0,1.0,0.00350043755469,10.0
10036,8,2,2016-01-02,0.0,0.0,,
13446,27,3,2016-01-02,0.0,1.0,,
33109,2,2,2016-01-02,1.0,1.0,0.00212526565821,9.70588235294
31359,8,1,2016-01-02,0.0,0.0,,
1553,28,1,2016-01-02,4.0,1.0,0.0112389048631,4.4382647386
486,13,2,2016-01-02,1.0,1.0,0.00225028128516,10.0
68800,21,0,2016-01-02,4.0,1.0,0.00373796724591,10.0
39838,2,1,2016-01-02,0.0,1.0,,
68792,21,3,2016-01-02,0.0,1.0,,
65810,26,2,2016-01-02,2.0,1.0,0.0361295161895,9.30795847751
36299,6,3,2016-01-02,0.0,1.0,,
48323,13,0,2016-01-02,0.0,1.0,,
16452,38,1,2016-01-02,0.0,1.0,,
59824,38,0,2016-01-02,5.0,1.0,0.000400050006251,10.0
37617,38,3,2016-01-02,0.0,1.0,,
61736,37,2,2016-01-02,6.0,1.0,0.00123765470684,10.0
16714,36,1,2016-01-02,0.0,1.0,,
6744,22,1,2016-01-02,0.0,1.0,,
12764,32,3,2016-01-02,0.0,1.0,,
3534,23,0,2016-01-02,1.0,1.0,0.0108763595449,10.0
61777,6,0,2016-01-02,0.0,1.0,,
59459,32,1,2016-01-02,0.0,1.0,,
29400,38,2,2016-01-02,0.0,1.0,,
54106,22,3,2016-01-02,0.0,1.0,,
62949,27,2,2016-01-02,0.0,1.0,,
49266,13,3,2016-01-02,0.0,1.0,,
45439,36,0,2016-01-02,0.0,1.0,,
54726,26,3,2016-01-02,0.0,1.0,,
39794,21,2,2016-01-02,5.0,1.0,0.00373796724591,10.0
43156,26,0,2016-01-02,9.0,1.0,0.0361295161895,9.30795847751
9633,6,2,2016-01-02,0.0,1.0,,
58565,6,1,2016-01-02,0.0,0.0,,
58421,26,1,2016-01-02,3.0,1.0,0.0361295161895,9.30795847751
67758,23,2,2016-01-02,0.0,1.0,,
5817,36,3,2016-01-02,0.0,1.0,,
3983,23,1,2016-01-03,0.0,0.0,,
21227,23,0,2016-01-03,0.0,1.0,,
5221,23,2,2016-01-03,0.0,1.0,,
25156,26,2,2016-01-03,4.0,1.0,0.0361295161895,9.04844290657
909,38,1,2016-01-03,0.0,1.0,,
2113,8,2,2016-01-03,0.0,0.0,,
1778,13,3,2016-01-03,0.0,1.0,,
9006,13,2,2016-01-03,0.0,1.0,,
51897,28,2,2016-01-03,7.0,1.0,0.0112389048631,4.4382647386
67234,37,0,2016-01-03,20.0,1.0,0.00123765470684,10.0
15589,37,1,2016-01-03,8.0,1.0,0.00123765470684,10.0
51265,27,3,2016-01-03,0.0,1.0,,
64163,27,2,2016-01-03,0.0,1.0,,
20142,26,0,2016-01-03,8.0,1.0,0.0361295161895,9.04844290657
3394,13,0,2016-01-03,2.0,1.0,0.00225028128516,10.0
65898,27,1,2016-01-03,2.0,1.0,0.0120015001875,9.47916666667
21738,22,2,2016-01-03,3.0,1.0,0.00350043755469,10.0
64319,36,0,2016-01-03,0.0,1.0,,
19235,27,0,2016-01-03,0.0,1.0,,
20940,8,1,2016-01-03,0.0,0.0,,
15187,36,1,2016-01-03,0.0,1.0,,
43486,2,2,2016-01-03,0.0,1.0,,
20481,8,0,2016-01-03,0.0,1.0,,
53076,26,1,2016-01-03,5.0,1.0,0.0361295161895,9.16955017301
52753,22,3,2016-01-03,0.0,1.0,,
39471,22,1,2016-01-03,0.0,1.0,,
6198,26,3,2016-01-03,1.0,1.0,0.0361295161895,9.30795847751
13110,38,2,2016-01-03,5.0,1.0,0.000400050006251,10.0
10141,22,0,2016-01-03,2.0,1.0,0.00350043755469,10.0
43966,13,1,2016-01-03,0.0,1.0,,
31471,36,2,2016-01-03,0.0,0.0,,
62439,21,2,2016-01-03,2.0,1.0,0.00373796724591,8.32775919732
58403,21,0,2016-01-03,6.0,1.0,0.00373796724591,9.44147157191
34436,32,2,2016-01-03,0.0,1.0,,
36103,28,0,2016-01-03,10.0,1.0,0.0112389048631,4.4382647386
68018,21,3,2016-01-03,2.0,1.0,0.00373796724591,10.0
22327,21,1,2016-01-03,1.0,1.0,0.00373796724591,10.0
47273,36,3,2016-01-03,0.0,1.0,,
13606,6,3,2016-01-03,0.0,1.0,,
46396,6,1,2016-01-03,1.0,0.0,0.0148768596075,9.57983193277
22698,38,0,2016-01-03,4.0,1.0,0.000400050006251,10.0
57139,6,0,2016-01-03,0.0,1.0,,
51824,2,0,2016-01-03,1.0,1.0,0.00212526565821,10.0
17596,32,1,2016-01-03,0.0,1.0,,
4855,28,1,2016-01-03,6.0,1.0,0.0112389048631,4.4382647386
7301,28,3,2016-01-03,2.0,1.0,0.0112389048631,4.4382647386
43095,38,3,2016-01-03,0.0,1.0,,
20912,2,1,2016-01-03,0.0,1.0,,
21475,37,2,2016-01-03,10.0,1.0,0.00123765470684,10.0
20791,32,0,2016-01-03,2.0,1.0,0.00236279534942,10.0
14370,32,3,2016-01-03,0.0,1.0,,
68830,6,2,2016-01-03,0.0,1.0,,
50226,37,3,2016-01-03,6.0,1.0,0.00123765470684,10.0
70741,36,1,2016-01-04,1.0,1.0,0.237404675584,5.26066350711
38934,6,1,2016-01-04,0.0,0.0,,
1549,28,0,2016-01-04,22.0,1.0,0.0109551193899,4.55323519343
22230,26,2,2016-01-04,12.0,1.0,0.0361295161895,9.07716262976
26635,22,0,2016-01-04,4.0,1.0,0.00350043755469,10.0
69082,8,0,2016-01-04,0.0,1.0,,
17309,13,2,2016-01-04,3.0,1.0,0.00225028128516,10.0
68461,8,2,2016-01-04,0.0,0.0,,
13142,37,0,2016-01-04,94.0,1.0,0.00123765470684,10.0
60181,28,3,2016-01-04,4.0,1.0,0.0112389048631,4.4382647386
23748,38,2,2016-01-04,1.0,1.0,0.000400050006251,10.0
63436,27,1,2016-01-04,0.0,1.0,,
23187,36,2,2016-01-04,1.0,0.0,0.237404675584,5.26066350711
20466,2,1,2016-01-04,0.0,1.0,,
9453,26,3,2016-01-04,4.0,1.0,0.0361295161895,8.96193771626
4625,27,0,2016-01-04,25.0,1.0,0.0120015001875,9.259375
2269,21,1,2016-01-04,0.0,1.0,,
70789,27,3,2016-01-04,1.0,1.0,0.0120015001875,10.0
48153,26,1,2016-01-04,5.0,1.0,0.0361295161895,9.03114186851
29809,37,1,2016-01-04,18.0,1.0,0.00123765470684,10.0
68833,6,3,2016-01-04,0.0,1.0,,
6291,6,0,2016-01-04,0.0,1.0,,
7028,21,2,2016-01-04,4.0,1.0,0.00373796724591,10.0
20029,32,1,2016-01-04,0.0,1.0,,
6900,36,3,2016-01-04,0.0,1.0,,
55098,13,0,2016-01-04,3.0,1.0,0.00225028128516,10.0
50764,36,0,2016-01-04,1.0,1.0,0.237404675584,5.26066350711
13925,32,3,2016-01-04,0.0,1.0,,
14243,38,0,2016-01-04,2.0,1.0,0.000331291411426,10.0
17115,21,0,2016-01-04,3.0,1.0,0.00373796724591,10.0
44286,38,3,2016-01-04,0.0,1.0,,
3021,28,1,2016-01-04,5.0,1.0,0.0112389048631,4.4382647386
70085,37,2,2016-01-04,24.0,1.0,0.00123765470684,10.0
25606,13,3,2016-01-04,1.0,1.0,0.00225028128516,10.0
54359,28,2,2016-01-04,5.0,1.0,0.00998874859357,4.99374217772
12203,2,2,2016-01-04,0.0,1.0,,
67452,8,1,2016-01-04,0.0,0.0,,
57975,13,1,2016-01-04,0.0,1.0,,
65233,22,2,2016-01-04,1.0,1.0,0.00350043755469,10.0
30016,32,2,2016-01-04,0.0,1.0,,
13154,37,3,2016-01-04,4.0,1.0,0.00123765470684,10.0
62714,32,0,2016-01-04,1.0,1.0,0.00236279534942,10.0
47227,2,0,2016-01-04,0.0,1.0,,
30193,22,3,2016-01-04,0.0,1.0,,
18735,23,2,2016-01-04,0.0,1.0,,
13764,22,1,2016-01-04,1.0,1.0,0.00350043755469,10.0
54562,23,1,2016-01-04,0.0,0.0,,
44453,21,3,2016-01-04,0.0,1.0,,
62673,27,2,2016-01-04,6.0,1.0,0.0120015001875,9.30520833333
1601,38,1,2016-01-04,0.0,1.0,,
5681,23,0,2016-01-04,0.0,1.0,,
56708,26,0,2016-01-04,8.0,1.0,0.0361295161895,9.00519031142
23768,6,2,2016-01-04,0.0,1.0,,
68027,21,1,2016-01-05,3.0,1.0,0.00373796724591,10.0
57433,37,3,2016-01-05,6.0,1.0,0.00123765470684,10.0
5111,36,1,2016-01-05,0.0,1.0,,
41380,13,3,2016-01-05,2.0,1.0,0.00225028128516,10.0
33594,37,2,2016-01-05,4.0,1.0,0.00123765470684,10.0
34237,13,2,2016-01-05,0.0,1.0,,
18129,6,1,2016-01-05,0.0,0.0,,
13135,26,2,2016-01-05,5.0,1.0,0.0361295161895,9.10034602076
23948,37,0,2016-01-05,34.0,1.0,0.00123765470684,10.0
5995,26,1,2016-01-05,5.0,1.0,0.0361295161895,9.10034602076
7589,27,1,2016-01-05,0.0,1.0,,
42842,36,2,2016-01-05,1.0,0.0,0.237404675584,5.26066350711
47233,2,2,2016-01-05,1.0,1.0,0.00212526565821,9.70588235294
7212,22,2,2016-01-05,5.0,1.0,0.00350043755469,10.0
46767,27,0,2016-01-05,8.0,1.0,0.0120015001875,9.47916666667
38933,6,3,2016-01-05,0.0,1.0,,
14322,6,2,2016-01-05,0.0,1.0,,
64905,37,1,2016-01-05,7.0,1.0,0.00123765470684,10.0
10327,13,0,2016-01-05,2.0,1.0,0.00225028128516,10.0
25931,22,0,2016-01-05,0.0,1.0,,
14232,38,1,2016-01-05,0.0,1.0,,
60654,27,2,2016-01-05,0.0,1.0,,
21521,28,1,2016-01-05,8.0,1.0,0.0112389048631,4.4382647386
2085,23,1,2016-01-05,0.0,0.0,,
63785,32,1,2016-01-05,0.0,1.0,,
57392,21,2,2016-01-05,2.0,1.0,0.00373796724591,10.0
20065,23,2,2016-01-05,0.0,1.0,,
40506,28,0,2016-01-05,46.0,1.0,0.0105375671959,4.70162534108
57649,21,3,2016-01-05,0.0,1.0,,
32361,2,0,2016-01-05,5.0,1.0,0.00212526565821,10.0
24544,8,2,2016-01-05,0.0,0.0,,
29649,6,0,2016-01-05,0.0,1.0,,
45157,28,3,2016-01-05,7.0,1.0,0.0103462932867,4.82116964717
38193,8,0,2016-01-05,2.0,1.0,0.00121265158145,10.0
26021,32,2,2016-01-05,0.0,1.0,,
41508,38,3,2016-01-05,0.0,1.0,,
10687,38,0,2016-01-05,1.0,1.0,0.000331291411426,10.0
14084,36,0,2016-01-05,0.0,1.0,,
63063,26,0,2016-01-05,14.0,1.0,0.0361295161895,9.08546712803
28544,21,0,2016-01-05,5.0,1.0,0.00373796724591,10.0
47620,36,3,2016-01-05,0.0,1.0,,
24682,22,3,2016-01-05,2.0,1.0,0.00350043755469,10.0
11384,32,0,2016-01-05,5.0,1.0,0.00236279534942,10.0
55060,27,3,2016-01-05,0.0,1.0,,
50473,8,1,2016-01-05,1.0,0.0,0.00121265158145,10.0
41164,23,0,2016-01-05,1.0,1.0,0.0108763595449,10.0
243,32,3,2016-01-05,0.0,1.0,,
32636,26,3,2016-01-05,3.0,1.0,0.0361295161895,8.96193771626
21926,2,1,2016-01-05,2.0,1.0,0.00212526565821,9.70588235294
38253,28,2,2016-01-05,10.0,1.0,0.0106138267283,4.69964664311
1759,22,1,2016-01-05,0.0,1.0,,
8280,13,1,2016-01-05,2.0,1.0,0.00225028128516,10.0
60949,38,2,2016-01-05,0.0,1.0,,
10825,36,2,2016-01-06,0.0,0.0,,
63832,26,3,2016-01-06,3.0,1.0,0.0361295161895,8.96193771626
44175,38,0,2016-01-06,10.0,1.0,0.000386298287286,9.48220064725
20374,21,2,2016-01-06,1.0,1.0,0.00373796724591,10.0
54563,23,1,2016-01-06,0.0,0.0,,
53271,36,3,2016-01-06,0.0,1.0,,
53414,22,2,2016-01-06,3.0,1.0,0.00350043755469,10.0
35931,21,1,2016-01-06,1.0,1.0,0.00373796724591,10.0
46807,6,1,2016-01-06,0.0,0.0,,
1661,23,0,2016-01-06,0.0,1.0,,
50921,32,0,2016-01-06,0.0,1.0,,
68067,37,0,2016-01-06,44.0,1.0,0.00123765470684,10.0
36799,38,1,2016-01-06,1.0,1.0,0.000331291411426,10.0
51290,38,2,2016-01-06,0.0,1.0,,
38963,26,0,2016-01-06,10.0,1.0,0.0361295161895,8.96193771626
53515,6,0,2016-01-06,0.0,1.0,,
43191,22,1,2016-01-06,2.0,1.0,0.00350043755469,10.0
8435,32,3,2016-01-06,0.0,1.0,,
7236,2,0,2016-01-06,1.0,1.0,0.00212526565821,9.70588235294
61321,27,1,2016-01-06,0.0,1.0,,
39234,13,2,2016-01-06,0.0,1.0,,
22604,37,2,2016-01-06,14.0,1.0,0.00123765470684,10.0
4522,32,2,2016-01-06,0.0,1.0,,
22610,37,3,2016-01-06,6.0,1.0,0.00123765470684,10.0
28611,28,1,2016-01-06,4.0,1.0,0.0112389048631,4.4382647386
36127,27,0,2016-01-06,2.0,1.0,0.0120015001875,10.0
26723,2,2,2016-01-06,0.0,1.0,,
43924,21,3,2016-01-06,2.0,1.0,0.00373796724591,10.0
68219,13,1,2016-01-06,1.0,1.0,0.00225028128516,10.0
33490,23,2,2016-01-06,0.0,1.0,,
45079,21,0,2016-01-06,4.0,1.0,0.00373796724591,10.0
41968,37,1,2016-01-06,8.0,1.0,0.00123765470684,10.0
1974,22,3,2016-01-06,0.0,1.0,,
5503,28,0,2016-01-06,9.0,1.0,0.0112389048631,4.4382647386
28412,8,2,2016-01-06,0.0,0.0,,
54674,27,2,2016-01-06,0.0,1.0,,
13800,28,2,2016-01-06,8.0,1.0,0.0112389048631,4.4382647386
30276,8,0,2016-01-06,2.0,1.0,0.00121265158145,10.0
58810,27,3,2016-01-06,0.0,1.0,,
7814,36,1,2016-01-06,1.0,1.0,0.237404675584,5.26066350711
35797,38,3,2016-01-06,0.0,1.0,,
50629,36,0,2016-01-06,1.0,1.0,0.237404675584,5.26066350711
15563,26,1,2016-01-06,4.0,1.0,0.0361295161895,9.2214532872
48253,2,1,2016-01-06,0.0,1.0,,
13270,13,0,2016-01-06,1.0,1.0,0.00225028128516,10.0
15396,6,2,2016-01-06,0.0,1.0,,
40236,8,1,2016-01-06,1.0,0.0,0.00121265158145,10.0
14934,26,2,2016-01-06,3.0,1.0,0.0361295161895,9.30795847751
49774,22,0,2016-01-06,1.0,1.0,0.00350043755469,10.0
53017,28,3,2016-01-06,5.0,1.0,0.00967620952619,5.15503875969
58301,6,3,2016-01-06,0.0,1.0,,
2444,13,3,2016-01-06,0.0,1.0,,
28916,32,1,2016-01-06,0.0,1.0,,
10631,28,1,2016-01-07,9.0,1.0,0.0112389048631,4.4382647386
63017,6,2,2016-01-07,0.0,1.0,,
48380,28,3,2016-01-07,0.0,1.0,,
52208,28,0,2016-01-07,18.0,1.0,0.0112389048631,4.4382647386
36995,8,2,2016-01-07,0.0,0.0,,
59407,37,1,2016-01-07,5.0,1.0,0.00123765470684,10.0
43448,36,0,2016-01-07,0.0,1.0,,
34793,32,2,2016-01-07,0.0,1.0,,
13451,27,0,2016-01-07,6.0,1.0,0.0118352294037,9.64719552128
29002,28,2,2016-01-07,13.0,1.0,0.0112389048631,4.4382647386
66374,2,1,2016-01-07,8.0,0.0,0.00212526565821,9.70588235294
55759,38,1,2016-01-07,0.0,1.0,,
55482,26,1,2016-01-07,7.0,1.0,0.0361295161895,8.96193771626
57142,6,3,2016-01-07,1.0,1.0,0.0148768596075,9.57983193277
1176,26,3,2016-01-07,10.0,0.0,0.0361295161895,9.23875432526
37371,32,1,2016-01-07,0.0,1.0,,
44043,26,0,2016-01-07,6.0,1.0,0.0361295161895,9.07716262976
26902,37,2,2016-01-07,7.0,1.0,0.00123765470684,10.0
37117,2,2,2016-01-07,0.0,1.0,,
50705,6,1,2016-01-07,0.0,0.0,,
26863,27,1,2016-01-07,0.0,1.0,,
16014,38,0,2016-01-07,2.0,1.0,0.000400050006251,9.375
21335,36,3,2016-01-07,0.0,1.0,,
62302,27,3,2016-01-07,0.0,1.0,,
46656,26,2,2016-01-07,1.0,1.0,0.0361295161895,8.96193771626
62674,27,2,2016-01-07,1.0,1.0,0.0120015001875,10.0
68832,6,0,2016-01-07,0.0,1.0,,
62844,32,0,2016-01-07,0.0,1.0,,
51291,38,2,2016-01-07,0.0,1.0,,
50064,32,3,2016-01-07,0.0,1.0,,
48767,37,3,2016-01-07,3.0,1.0,0.00123765470684,10.0
50474,8,1,2016-01-07,1.0,0.0,0.00121265158145,10.0
18207,8,0,2016-01-07,2.0,1.0,0.00121265158145,10.0
23885,36,2,2016-01-07,0.0,0.0,,
55671,13,2,2016-01-07,0.0,1.0,,
31245,21,0,2016-01-07,0.0,1.0,,
13271,13,0,2016-01-07,2.0,1.0,0.00225028128516,10.0
61447,13,1,2016-01-07,1.0,1.0,0.00225028128516,10.0
52013,21,1,2016-01-07,1.0,1.0,0.00373796724591,10.0
40118,22,1,2016-01-07,0.0,1.0,,
36879,23,1,2016-01-07,0.0,0.0,,
2274,23,2,2016-01-07,0.0,1.0,,
53403,22,0,2016-01-07,7.0,1.0,0.00350043755469,10.0
29467,21,3,2016-01-07,2.0,1.0,0.00373796724591,10.0
24825,38,3,2016-01-07,5.0,1.0,0.000400050006251,9.375
29302,37,0,2016-01-07,63.0,1.0,0.00123765470684,10.0
26305,2,0,2016-01-07,0.0,1.0,,
13533,22,2,2016-01-07,1.0,1.0,0.00350043755469,10.0
57458,22,3,2016-01-07,0.0,1.0,,
7997,21,2,2016-01-07,4.0,1.0,0.00373796724591,9.16387959866
47775,23,0,2016-01-07,1.0,1.0,0.0108763595449,10.0
47622,36,1,2016-01-07,0.0,1.0,,
30245,13,3,2016-01-07,0.0,1.0,,
13111,38,2,2016-01-08,0.0,1.0,,
41713,6,0,2016-01-08,0.0,1.0,,
61805,13,0,2016-01-08,2.0,1.0,0.00225028128516,10.0
33975,38,3,2016-01-08,0.0,1.0,,
40871,38,0,2016-01-08,24.0,1.0,0.000382547818477,9.50980392157
19702,28,3,2016-01-08,5.0,1.0,0.0112389048631,4.4382647386
47290,36,2,2016-01-08,0.0,0.0,,
16322,21,0,2016-01-08,3.0,1.0,0.00373796724591,10.0
8991,2,1,2016-01-08,0.0,1.0,,
67712,32,0,2016-01-08,0.0,1.0,,
12793,21,3,2016-01-08,1.0,1.0,0.00373796724591,10.0
60489,26,2,2016-01-08,2.0,1.0,0.0361295161895,9.13494809689
62791,37,2,2016-01-08,7.0,1.0,0.00123765470684,10.0
61029,22,1,2016-01-08,0.0,1.0,,
20564,13,1,2016-01-08,1.0,1.0,0.00225028128516,10.0
44067,37,3,2016-01-08,2.0,1.0,0.00123765470684,10.0
66032,8,1,2016-01-08,1.0,0.0,0.00121265158145,10.0
20598,8,0,2016-01-08,0.0,1.0,,
28116,13,2,2016-01-08,0.0,1.0,,
16319,21,2,2016-01-08,4.0,1.0,0.00373796724591,10.0
38617,38,1,2016-01-08,0.0,1.0,,
66365,6,3,2016-01-08,0.0,1.0,,
23984,22,0,2016-01-08,1.0,1.0,0.00350043755469,10.0
20779,32,2,2016-01-08,0.0,1.0,,
18355,21,1,2016-01-08,1.0,1.0,0.00373796724591,10.0
59782,28,2,2016-01-08,23.0,1.0,0.0112389048631,4.4382647386
38849,23,0,2016-01-08,0.0,1.0,,
43149,26,1,2016-01-08,22.0,1.0,0.0361295161895,9.30795847751
43142,26,3,2016-01-08,0.0,0.0,,
22514,36,0,2016-01-08,0.0,1.0,,
28714,37,1,2016-01-08,10.0,1.0,0.00123765470684,10.0
3828,27,1,2016-01-08,0.0,1.0,,
313,26,0,2016-01-08,10.0,1.0,0.0361295161895,9.03114186851
49875,27,2,2016-01-08,0.0,1.0,,
26443,27,3,2016-01-08,2.0,1.0,0.0120015001875,9.47916666667
16084,22,2,2016-01-08,0.0,1.0,,
9440,23,2,2016-01-08,0.0,1.0,,
53012,28,1,2016-01-08,7.0,1.0,0.0101975246906,4.8915042295
57189,36,3,2016-01-08,0.0,1.0,,
8658,6,1,2016-01-08,0.0,0.0,,
61488,8,2,2016-01-08,1.0,0.0,0.00121265158145,10.0
48863,28,0,2016-01-08,10.0,1.0,0.00997624703088,4.90100250627
43550,37,0,2016-01-08,48.0,1.0,0.00123765470684,10.0
52122,2,2,2016-01-08,0.0,1.0,,
7769,23,1,2016-01-08,0.0,0.0,,
40622,13,3,2016-01-08,0.0,1.0,,
56243,6,2,2016-01-08,0.0,1.0,,
35132,27,0,2016-01-08,1.0,1.0,0.0110013751719,10.0
358,22,3,2016-01-08,0.0,1.0,,
61560,36,1,2016-01-08,1.0,1.0,0.237404675584,6.31384939442
33020,32,3,2016-01-08,0.0,1.0,,
69926,2,0,2016-01-08,0.0,1.0,,
39364,32,1,2016-01-08,0.0,1.0,,
40233,8,2,2016-01-09,2.0,0.0,0.00121265158145,10.0
67094,8,0,2016-01-09,3.0,1.0,0.00121265158145,10.0
17037,13,3,2016-01-09,0.0,1.0,,
11026,21,3,2016-01-09,1.0,0.0,0.00373796724591,10.0
48976,8,1,2016-01-09,1.0,0.0,0.00121265158145,10.0
42247,2,1,2016-01-09,0.0,1.0,,
50818,28,0,2016-01-09,9.0,1.0,0.0112389048631,4.4382647386
52707,26,1,2016-01-09,6.0,1.0,0.0361295161895,8.96193771626
18484,36,0,2016-01-09,0.0,1.0,,
46946,28,3,2016-01-09,4.0,1.0,0.0112389048631,4.4382647386
32235,26,2,2016-01-09,5.0,1.0,0.0361295161895,9.10034602076
57118,21,0,2016-01-09,2.0,1.0,0.00373796724591,10.0
18912,32,1,2016-01-09,0.0,1.0,,
3279,28,1,2016-01-09,3.0,1.0,0.0112389048631,4.4382647386
44986,13,0,2016-01-09,8.0,1.0,0.00225028128516,10.0
48908,27,2,2016-01-09,0.0,1.0,,
45487,21,2,2016-01-09,0.0,1.0,,
53319,27,0,2016-01-09,2.0,1.0,0.0120015001875,10.0
34632,28,2,2016-01-09,8.0,1.0,0.0112389048631,4.4382647386
50964,23,2,2016-01-09,0.0,1.0,,
11760,37,3,2016-01-09,4.0,1.0,0.00123765470684,9.74747474747
40789,36,3,2016-01-09,0.0,1.0,,
14912,38,0,2016-01-09,5.0,1.0,0.000400050006251,9.375
1658,21,1,2016-01-09,0.0,1.0,,
70961,22,0,2016-01-09,1.0,1.0,0.00350043755469,10.0
43787,36,1,2016-01-09,0.0,1.0,,
69133,32,2,2016-01-09,0.0,1.0,,
12482,32,3,2016-01-09,0.0,1.0,,
15615,22,1,2016-01-09,3.0,1.0,0.00350043755469,10.0
70184,38,3,2016-01-09,1.0,1.0,0.000400050006251,9.375
34088,23,1,2016-01-09,0.0,0.0,,
44257,27,3,2016-01-09,1.0,1.0,0.0110013751719,10.0
35181,37,2,2016-01-09,13.0,1.0,0.00123765470684,9.53535353535
54296,13,2,2016-01-09,0.0,1.0,,
35597,2,2,2016-01-09,0.0,1.0,,
37632,37,0,2016-01-09,52.0,1.0,0.00123765470684,9.05050505051
41486,27,1,2016-01-09,6.0,1.0,0.0118352294037,9.2954473434
58764,22,2,2016-01-09,0.0,1.0,,
51283,38,1,2016-01-09,0.0,1.0,,
50647,26,0,2016-01-09,6.0,1.0,0.0361295161895,9.07716262976
5042,6,2,2016-01-09,0.0,1.0,,
21148,37,1,2016-01-09,15.0,1.0,0.00123765470684,9.19191919192
31724,13,1,2016-01-09,1.0,1.0,0.00225028128516,10.0
33654,2,0,2016-01-09,0.0,1.0,,
41450,36,2,2016-01-09,2.0,0.0,0.237404675584,5.26066350711
51319,32,0,2016-01-09,0.0,1.0,,
