,item_sku_id,dc_id,date,quantity,vendibility,original_price,discount,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd,brand_code
53195,29,3,2017-12-17,0.0,1.0,,,7,29,148,1450
11634,17,4,2017-12-17,0.0,1.0,,,7,29,144,394
53783,29,5,2017-12-17,0.0,1.0,,,7,29,148,1450
67564,35,4,2017-12-17,0.0,1.0,,,1,7,32,158
58000,23,3,2017-12-17,0.0,1.0,,,7,30,170,958
22769,14,1,2017-12-17,0.0,1.0,,,7,29,149,749
39217,30,5,2017-12-17,0.0,1.0,,,7,29,144,1125
9424,16,1,2017-12-17,2.0,1.0,0.0173771721465,10.0,1,5,21,534
53389,29,2,2017-12-17,0.0,0.0,,,7,29,148,1450
20131,24,1,2017-12-17,0.0,1.0,,,7,31,314,1194
28525,39,5,2017-12-17,4.0,1.0,0.0198774846856,8.88364779874,1,5,21,738
13402,12,2,2017-12-17,2.0,1.0,0.00612576572072,9.34693877551,7,31,151,367
32181,36,3,2017-12-17,0.0,1.0,,,1,5,21,284
71499,15,0,2017-12-17,11.0,1.0,0.0336292036505,10.0,1,5,21,285
20122,24,5,2017-12-17,0.0,1.0,,,7,31,314,1194
67243,34,3,2017-12-17,1.0,1.0,0.000487560945118,5.10256410256,7,30,166,207
17396,18,0,2017-12-17,6.0,1.0,0.0273784223028,9.92374429224,1,3,11,39
49449,32,0,2017-12-17,0.0,1.0,,,7,30,168,400
41335,27,4,2017-12-17,0.0,0.0,,,1,7,32,538
39375,30,3,2017-12-17,0.0,1.0,,,7,29,144,1125
21999,33,3,2017-12-17,1.0,0.0,0.0373796724591,6.98996655518,1,4,18,588
22647,14,3,2017-12-17,5.0,0.0,0.00198774846856,10.0,7,29,149,749
54555,21,4,2017-12-17,0.0,1.0,,,1,4,52,399
9161,13,1,2017-12-17,6.0,1.0,0.00220402550319,8.96199659671,7,29,149,518
43020,38,5,2017-12-17,0.0,1.0,,,7,31,175,874
71532,15,4,2017-12-17,1.0,0.0,0.0336292036505,10.0,1,5,21,285
57563,23,2,2017-12-17,1.0,1.0,0.0108763595449,9.08045977011,7,30,170,958
67948,35,2,2017-12-17,3.0,1.0,0.0018752344043,10.0,1,7,32,158
67257,34,0,2017-12-17,6.0,1.0,0.000487560945118,8.35897435897,7,30,166,207
13686,12,0,2017-12-17,13.0,1.0,0.00607075884486,9.44192751236,7,31,151,367
13458,12,1,2017-12-17,12.0,1.0,0.00612576572072,9.34693877551,7,31,151,367
70935,22,2,2017-12-17,1.0,1.0,0.00350043755469,10.0,7,29,144,485
12412,17,1,2017-12-17,0.0,1.0,,,7,29,144,394
24997,40,2,2017-12-17,1.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
70164,22,3,2017-12-17,0.0,1.0,,,7,29,144,485
21739,33,2,2017-12-17,2.0,0.0,0.0373796724591,7.15719063545,1,4,18,588
68412,35,0,2017-12-17,0.0,1.0,,,1,7,32,158
69546,22,4,2017-12-17,0.0,1.0,,,7,29,144,485
44590,38,3,2017-12-17,0.0,1.0,,,7,31,175,874
52107,11,0,2017-12-17,0.0,1.0,,,7,30,540,1264
28889,39,0,2017-12-17,62.0,1.0,0.0198287285911,8.47613643528,1,5,21,738
9345,16,5,2017-12-17,0.0,0.0,,,1,5,21,534
32331,36,2,2017-12-17,0.0,1.0,,,1,5,21,284
18970,18,1,2017-12-17,1.0,1.0,0.0273784223028,10.0,1,3,11,39
59416,23,1,2017-12-17,0.0,1.0,,,7,30,170,958
8441,13,5,2017-12-17,9.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
45320,38,1,2017-12-17,0.0,1.0,,,7,31,175,874
17508,18,2,2017-12-17,2.0,1.0,0.0273784223028,10.0,1,3,11,39
20476,24,4,2017-12-17,1.0,1.0,0.0137392174022,5.36851683348,7,31,314,1194
50904,32,2,2017-12-17,2.0,1.0,0.00236279534942,8.9417989418,7,30,168,400
39884,30,0,2017-12-17,1.0,1.0,0.00197524690586,3.10126582278,7,29,144,1125
8518,13,2,2017-12-17,13.0,1.0,0.00222902862858,8.86146943354,7,29,149,518
35247,28,5,2017-12-17,0.0,1.0,,,1,4,18,648
51536,11,4,2017-12-17,0.0,1.0,,,7,30,540,1264
8366,13,4,2017-12-17,8.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
20611,33,0,2017-12-17,5.0,1.0,0.0373796724591,7.1237458194,1,4,18,588
51306,32,5,2017-12-17,0.0,1.0,,,7,30,168,400
60753,26,4,2017-12-17,0.0,1.0,,,1,3,6,332
6404,13,0,2017-12-17,16.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
19940,24,2,2017-12-17,0.0,1.0,,,7,31,314,1194
12206,17,2,2017-12-17,0.0,1.0,,,7,29,144,394
52719,29,1,2017-12-17,0.0,0.0,,,7,29,148,1450
46096,20,1,2017-12-17,17.0,1.0,0.000250031253907,5.0,7,30,539,1143
59745,23,0,2017-12-17,9.0,1.0,0.0108763595449,9.08045977011,7,30,170,958
39825,30,2,2017-12-17,0.0,1.0,,,7,29,144,1125
17770,18,4,2017-12-17,1.0,1.0,0.0273784223028,10.0,1,3,11,39
59530,23,5,2017-12-17,4.0,1.0,0.0108763595449,9.08045977011,7,30,170,958
42798,27,3,2017-12-17,0.0,0.0,,,1,7,32,538
43494,38,4,2017-12-17,0.0,0.0,,,7,31,175,874
25235,40,3,2017-12-17,1.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
51105,32,4,2017-12-17,0.0,1.0,,,7,30,168,400
49761,32,1,2017-12-18,1.0,1.0,0.00236279534942,10.0,7,30,168,400
13091,17,1,2017-12-18,1.0,1.0,0.00072509063633,10.0,7,29,144,394
9289,16,3,2017-12-18,0.0,0.0,,,1,5,21,534
39121,30,3,2017-12-18,0.0,1.0,,,7,29,144,1125
32687,25,4,2017-12-18,1.0,1.0,0.00600075009376,9.97916666667,7,30,170,783
65790,37,5,2017-12-18,8.0,1.0,0.00182522815352,6.50684931507,7,29,149,148
21278,33,5,2017-12-18,0.0,0.0,,,1,4,18,588
46551,20,1,2017-12-18,20.0,1.0,0.000250031253907,5.0,7,30,539,1143
52751,29,5,2017-12-18,0.0,1.0,,,7,29,148,1450
66337,34,0,2017-12-18,0.0,1.0,,,7,30,166,207
11029,31,2,2017-12-18,7.0,1.0,0.00468433554194,7.71283693622,7,30,166,90
69634,22,3,2017-12-18,0.0,1.0,,,7,29,144,485
9320,16,0,2017-12-18,2.0,1.0,0.0173771721465,9.28057553957,1,5,21,534
55512,21,4,2017-12-18,1.0,1.0,0.00373796724591,8.99665551839,1,4,52,399
28390,39,5,2017-12-18,4.0,1.0,0.0198774846856,7.90880503145,1,5,21,738
27792,39,2,2017-12-18,18.0,1.0,0.0197199649956,8.41891720553,1,5,21,738
67968,35,2,2017-12-18,3.0,1.0,0.0018752344043,10.0,1,7,32,158
71657,15,4,2017-12-18,2.0,1.0,0.0336292036505,10.0,1,5,21,285
62816,26,3,2017-12-18,1.0,1.0,0.0823852981623,8.48254931715,1,3,6,332
51480,11,0,2017-12-18,0.0,1.0,,,7,30,540,1264
11010,31,5,2017-12-18,0.0,1.0,,,7,30,166,90
22013,33,1,2017-12-18,4.0,0.0,0.0373796724591,7.32441471572,1,4,18,588
29739,36,5,2017-12-18,0.0,1.0,,,1,5,21,284
19788,24,0,2017-12-18,2.0,1.0,0.0137392174022,5.45040946315,7,31,314,1194
49520,32,4,2017-12-18,0.0,1.0,,,7,30,168,400
12873,17,5,2017-12-18,3.0,0.0,0.00072509063633,4.94827586207,7,29,144,394
18845,18,5,2017-12-18,1.0,1.0,0.0273784223028,10.0,1,3,11,39
39374,30,5,2017-12-18,0.0,1.0,,,7,29,144,1125
25289,40,5,2017-12-18,0.0,1.0,,,1,4,13,1069
58523,23,5,2017-12-18,0.0,1.0,,,7,30,170,958
68167,35,4,2017-12-18,0.0,1.0,,,1,7,32,158
61447,26,0,2017-12-18,17.0,1.0,0.0823852981623,8.48254931715,1,3,6,332
36389,28,2,2017-12-18,1.0,0.0,0.0112389048631,5.55061179088,1,4,18,648
35102,28,3,2017-12-18,0.0,0.0,,,1,4,18,648
65699,37,1,2017-12-18,114.0,1.0,0.00103637954744,9.25211097708,7,29,149,148
69872,22,2,2017-12-18,1.0,1.0,0.00350043755469,10.0,7,29,144,485
39343,30,1,2017-12-18,0.0,1.0,,,7,29,144,1125
33358,25,5,2017-12-18,0.0,1.0,,,7,30,170,783
22671,14,5,2017-12-18,0.0,1.0,,,7,29,149,749
61387,26,4,2017-12-18,0.0,1.0,,,1,3,6,332
45723,38,0,2017-12-18,1.0,1.0,0.000437554694337,10.0,7,31,175,874
34239,28,5,2017-12-18,0.0,1.0,,,1,4,18,648
31513,36,4,2017-12-18,1.0,1.0,0.237404675584,3.94418114797,1,5,21,284
32620,25,1,2017-12-18,0.0,1.0,,,7,30,170,783
18961,18,1,2017-12-18,4.0,1.0,0.0273784223028,10.0,1,3,11,39
45334,38,5,2017-12-18,0.0,1.0,,,7,31,175,874
34278,28,0,2017-12-18,1.0,1.0,0.0112389048631,5.55061179088,1,4,18,648
52685,29,4,2017-12-18,0.0,0.0,,,7,29,148,1450
67109,34,5,2017-12-18,0.0,1.0,,,7,30,166,207
25524,40,3,2017-12-18,0.0,1.0,,,1,4,13,1069
7864,13,3,2017-12-18,2.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
66386,34,4,2017-12-18,0.0,1.0,,,7,30,166,207
46413,20,0,2017-12-18,76.0,1.0,0.000250031253907,5.0,7,30,539,1143
14101,12,0,2017-12-18,45.0,1.0,0.00611701462683,8.51420396485,7,31,151,367
70457,22,4,2017-12-18,0.0,1.0,,,7,29,144,485
9257,16,2,2017-12-18,2.0,1.0,0.0173771721465,9.28057553957,1,5,21,534
63398,37,4,2017-12-18,11.0,1.0,0.00121140142518,8.56553147575,7,29,149,148
32640,25,3,2017-12-18,0.0,1.0,,,7,30,170,783
68145,35,5,2017-12-18,10.0,1.0,0.0018752344043,10.0,1,7,32,158
62375,26,1,2017-12-18,4.0,1.0,0.0823852981623,8.48254931715,1,3,6,332
9324,16,1,2017-12-18,0.0,1.0,,,1,5,21,534
39639,30,0,2017-12-18,2.0,1.0,0.00197524690586,3.10126582278,7,29,144,1125
31358,36,0,2017-12-18,1.0,1.0,0.237404675584,3.94418114797,1,5,21,284
57571,23,4,2017-12-18,0.0,1.0,,,7,30,170,958
14058,12,2,2017-12-18,8.0,1.0,0.00612576572072,8.34693877551,7,31,151,367
51417,32,3,2017-12-18,0.0,1.0,,,7,30,168,400
50025,32,5,2017-12-18,0.0,1.0,,,7,30,168,400
18127,18,3,2017-12-18,0.0,1.0,,,1,3,11,39
14066,12,3,2017-12-18,5.0,1.0,0.00612576572072,8.34693877551,7,31,151,367
22884,14,0,2017-12-18,0.0,1.0,,,7,29,149,749
32353,36,1,2017-12-18,1.0,1.0,0.237404675584,3.94418114797,1,5,21,284
10284,19,0,2017-12-18,14.0,1.0,0.0123765470684,10.0,1,4,14,738
11038,31,3,2017-12-18,5.0,1.0,0.00411301412677,8.78419452888,7,30,166,90
22312,33,3,2017-12-18,1.0,0.0,0.0270596324541,10.0,1,4,18,588
57621,23,0,2017-12-18,2.0,1.0,0.0101400175022,10.0,7,30,170,958
44356,38,1,2017-12-18,0.0,1.0,,,7,31,175,874
19532,24,5,2017-12-18,0.0,1.0,,,7,31,314,1194
71479,15,2,2017-12-18,4.0,1.0,0.0336292036505,10.0,1,5,21,285
39170,30,4,2017-12-18,1.0,1.0,0.00197524690586,3.10126582278,7,29,144,1125
39841,30,2,2017-12-18,0.0,1.0,,,7,29,144,1125
34353,28,1,2017-12-18,1.0,0.0,0.0112389048631,5.55061179088,1,4,18,648
31500,36,3,2017-12-18,0.0,1.0,,,1,5,21,284
10750,19,3,2017-12-18,9.0,1.0,0.0123765470684,10.0,1,4,14,738
67400,34,3,2017-12-18,0.0,1.0,,,7,30,166,207
18038,18,0,2017-12-18,8.0,1.0,0.0273784223028,10.0,1,3,11,39
25529,40,1,2017-12-18,1.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
13498,12,5,2017-12-18,4.0,1.0,0.00612576572072,8.34693877551,7,31,151,367
52942,29,1,2017-12-18,0.0,0.0,,,7,29,148,1450
51666,11,3,2017-12-18,0.0,1.0,,,7,30,540,1264
10018,19,5,2017-12-18,0.0,1.0,,,1,4,14,738
11214,31,0,2017-12-18,6.0,1.0,0.00382172771596,9.45371279032,7,30,166,90
45872,20,2,2017-12-18,17.0,1.0,0.000250031253907,5.0,7,30,539,1143
25140,40,2,2017-12-18,1.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
10878,31,1,2017-12-18,2.0,1.0,0.00361295161895,10.0,7,30,166,90
53141,29,0,2017-12-18,0.0,1.0,,,7,29,148,1450
20293,24,3,2017-12-18,1.0,1.0,0.0137392174022,6.36032757052,7,31,314,1194
71543,15,5,2017-12-18,0.0,1.0,,,1,5,21,285
7787,13,1,2017-12-18,13.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
42238,27,1,2017-12-18,1.0,0.0,0.0152519064883,10.0,1,7,32,538
22555,14,3,2017-12-18,0.0,1.0,,,7,29,149,749
40696,27,5,2017-12-18,0.0,0.0,,,1,7,32,538
50547,32,2,2017-12-18,2.0,1.0,0.00236279534942,10.0,7,30,168,400
12827,17,2,2017-12-18,1.0,1.0,0.00072509063633,4.8275862069,7,29,144,394
42276,27,2,2017-12-18,0.0,0.0,,,1,7,32,538
51597,11,5,2017-12-18,0.0,1.0,,,7,30,540,1264
67488,35,3,2017-12-18,0.0,1.0,,,1,7,32,158
71540,15,3,2017-12-18,1.0,1.0,0.0336292036505,10.0,1,5,21,285
52358,11,1,2017-12-18,0.0,1.0,,,7,30,540,1264
42285,27,4,2017-12-18,0.0,0.0,,,1,7,32,538
14263,12,4,2017-12-18,6.0,1.0,0.00612576572072,8.34693877551,7,31,151,367
29184,39,3,2017-12-18,12.0,1.0,0.0198774846856,8.23899371069,1,5,21,738
51592,11,2,2017-12-18,0.0,1.0,,,7,30,540,1264
22709,14,2,2017-12-18,0.0,1.0,,,7,29,149,749
9303,16,4,2017-12-18,0.0,1.0,,,1,5,21,534
6812,13,5,2017-12-18,2.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
56149,21,5,2017-12-18,0.0,1.0,,,1,4,52,399
18296,18,2,2017-12-18,1.0,1.0,0.0273784223028,10.0,1,3,11,39
25752,40,4,2017-12-18,1.0,0.0,0.016127015877,7.67441860465,1,4,13,1069
20211,24,4,2017-12-18,1.0,1.0,0.0137392174022,5.45040946315,7,31,314,1194
66905,34,1,2017-12-18,0.0,1.0,,,7,30,166,207
55000,21,3,2017-12-18,1.0,1.0,0.00373796724591,10.0,1,4,52,399
20890,33,0,2017-12-18,3.0,1.0,0.0373796724591,7.32441471572,1,4,18,588
68379,35,0,2017-12-18,20.0,1.0,0.0018752344043,10.0,1,7,32,158
6610,13,2,2017-12-18,11.0,1.0,0.00218152269034,8.96848137536,7,29,149,518
34666,28,4,2017-12-18,1.0,1.0,0.0112389048631,5.55061179088,1,4,18,648
10825,19,2,2017-12-18,4.0,1.0,0.0123765470684,10.0,1,4,14,738
46631,20,3,2017-12-18,65.0,1.0,0.000250031253907,5.0,7,30,539,1143
44266,38,2,2017-12-18,0.0,0.0,,,7,31,175,874
61808,26,2,2017-12-18,1.0,1.0,0.0823852981623,8.48254931715,1,3,6,332
64859,37,0,2017-12-18,123.0,1.0,0.00116764595574,8.4903640257,7,29,149,148
51513,11,4,2017-12-18,0.0,1.0,,,7,30,540,1264
32532,25,0,2017-12-18,0.0,1.0,,,7,30,170,783
11110,31,4,2017-12-18,0.0,1.0,,,7,30,166,90
45033,38,4,2017-12-18,0.0,0.0,,,7,31,175,874
46263,20,4,2017-12-18,29.0,1.0,0.000250031253907,5.0,7,30,539,1143
65833,37,3,2017-12-18,17.0,1.0,0.00151893986748,7.28395061728,7,29,149,148
56566,21,2,2017-12-18,6.0,0.0,0.00373796724591,8.17725752508,1,4,52,399
20795,33,2,2017-12-18,3.0,0.0,0.0373796724591,7.21304347826,1,4,18,588
55152,21,1,2017-12-18,2.0,1.0,0.00373796724591,9.4983277592,1,4,52,399
22482,14,4,2017-12-18,0.0,1.0,,,7,29,149,749
27115,39,0,2017-12-18,35.0,1.0,0.0197962245281,8.32586043574,1,5,21,738
11870,17,4,2017-12-18,0.0,1.0,,,7,29,144,394
71566,15,1,2017-12-18,5.0,1.0,0.0336292036505,10.0,1,5,21,285
10724,19,4,2017-12-18,4.0,1.0,0.0123765470684,10.0,1,4,14,738
7433,13,0,2017-12-18,16.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
49450,32,0,2017-12-18,3.0,1.0,0.00236279534942,10.0,7,30,168,400
40911,27,3,2017-12-18,0.0,0.0,,,1,7,32,538
14172,12,1,2017-12-18,20.0,1.0,0.00612576572072,8.34693877551,7,31,151,367
62592,26,5,2017-12-18,0.0,1.0,,,1,3,6,332
42821,27,0,2017-12-18,1.0,0.0,0.0152519064883,10.0,1,7,32,538
59033,23,1,2017-12-18,2.0,1.0,0.0108763595449,10.0,7,30,170,958
63678,37,2,2017-12-18,11.0,1.0,0.00157644705588,7.05789056305,7,29,149,148
68477,35,1,2017-12-18,17.0,1.0,0.0018752344043,10.0,1,7,32,158
29219,39,4,2017-12-18,6.0,1.0,0.0198774846856,8.07106918239,1,5,21,738
54943,21,0,2017-12-18,3.0,1.0,0.00373796724591,8.78595317726,1,4,52,399
58106,23,2,2017-12-18,3.0,1.0,0.0108763595449,10.0,7,30,170,958
25386,40,0,2017-12-18,0.0,1.0,,,1,4,13,1069
67273,34,2,2017-12-18,1.0,1.0,0.000487560945118,10.0,7,30,166,207
57277,23,3,2017-12-18,0.0,1.0,,,7,30,170,958
52536,29,2,2017-12-18,0.0,0.0,,,7,29,148,1450
22509,14,1,2017-12-18,1.0,1.0,0.00198774846856,10.0,7,29,149,749
20996,33,4,2017-12-18,0.0,0.0,,,1,4,18,588
53013,29,3,2017-12-18,0.0,1.0,,,7,29,148,1450
12690,17,3,2017-12-18,0.0,1.0,,,7,29,144,394
70849,22,0,2017-12-18,0.0,1.0,,,7,29,144,485
28530,39,1,2017-12-18,15.0,1.0,0.0198774846856,7.9786163522,1,5,21,738
20340,24,2,2017-12-18,0.0,1.0,,,7,31,314,1194
71567,15,0,2017-12-18,5.0,1.0,0.0337229653707,10.0,1,5,21,285
19760,24,1,2017-12-18,4.0,1.0,0.0137392174022,5.45040946315,7,31,314,1194
69472,22,1,2017-12-18,2.0,1.0,0.00350043755469,7.5,7,29,144,485
43813,38,3,2017-12-18,0.0,1.0,,,7,31,175,874
9778,19,1,2017-12-18,4.0,1.0,0.0123765470684,10.0,1,4,14,738
33144,25,2,2017-12-18,0.0,1.0,,,7,30,170,783
32195,36,2,2017-12-18,0.0,1.0,,,1,5,21,284
70951,22,5,2017-12-18,1.0,1.0,0.00350043755469,7.32857142857,7,29,144,485
11837,17,0,2017-12-18,2.0,1.0,0.00072509063633,7.41379310345,7,29,144,394
46616,20,5,2017-12-18,1.0,1.0,0.000250031253907,5.0,7,30,539,1143
