LotArea,OverallQual,OverallCond,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SaleCondition,LotShape,GarageType,SalePrice
10141,7,5,1718,2,3,2,Normal,IR1,Attchd,185000
10200,5,7,1086,1,3,2,Normal,Reg,Attchd,144900
5790,3,6,1605,2,3,1,Normal,Reg,Detchd,107400
1596,4,5,988,1,2,1,Normal,Reg,BuiltIn,91000
8475,4,7,952,1,2,1,Normal,IR1,Detchd,135750
8635,5,5,1285,1,2,1,Normal,Reg,Detchd,127000
10778,4,5,1768,2,4,0,Normal,Reg,NA,136500
10440,5,6,1230,1,2,2,Normal,Reg,Detchd,110000
13000,6,6,2142,2,4,1,Normal,Reg,Attchd,193500
4500,6,5,1337,2,2,2,Normal,Reg,Attchd,153500
10206,8,5,1563,2,3,3,Normal,Reg,Attchd,245000
8892,5,5,1065,1,3,2,Normal,IR1,Detchd,126500
8530,7,5,1474,2,3,2,Normal,IR1,BuiltIn,168500
16059,8,5,2417,2,4,2,Normal,Reg,Attchd,260000
11911,6,5,1560,2,3,2,Normal,IR2,BuiltIn,174000
3951,6,5,1224,2,2,2,Partial,Reg,Detchd,164500
8470,3,2,1526,1,2,0,Abnorml,IR1,NA,85000
8070,4,5,990,1,3,0,Normal,Reg,NA,123600
7200,4,5,1040,1,2,2,Normal,Reg,Detchd,109900
8500,5,3,1235,1,2,2,Abnorml,Reg,Attchd,98600
13360,5,7,964,1,2,2,Normal,IR1,Detchd,163500
7200,6,6,2291,2,4,2,Normal,Reg,Detchd,133900
9337,6,5,1786,2,3,2,Normal,IR1,Attchd,204750
9765,6,8,1470,2,3,2,Normal,IR2,BuiltIn,185000
10264,7,5,1588,2,3,2,Normal,IR1,Attchd,214000
10921,4,5,960,1,3,1,Normal,Reg,Attchd,94750
10625,5,5,835,1,2,1,Abnorml,Reg,Basment,83000
9320,4,5,1225,1,3,0,Normal,IR1,NA,128950
10603,6,7,1610,2,3,2,Normal,IR1,Attchd,205000
9206,6,5,1732,2,3,2,Normal,Reg,Attchd,178000
7018,5,5,1535,2,4,2,Alloca,Reg,Attchd,118964
10402,7,5,1226,2,3,3,Normal,IR1,Attchd,198900
7758,7,4,1818,1,4,1,Normal,Reg,Detchd,169500
9375,8,5,1992,2,3,2,Normal,Reg,Attchd,250000
10800,4,7,1047,1,2,1,Normal,Reg,Detchd,100000
6000,5,5,789,1,2,1,Partial,Reg,Detchd,115000
8500,5,7,1517,2,3,0,Normal,Reg,NA,115000
11751,6,6,1844,2,3,2,Normal,IR1,Attchd,190000
9525,6,4,1855,2,4,1,Normal,Reg,Attchd,136900
7750,7,5,1430,2,3,2,Normal,IR1,BuiltIn,180000
9965,7,5,2696,2,4,3,Partial,Reg,BuiltIn,383970
21000,6,5,2259,2,3,2,Abnorml,Reg,Basment,217000
7259,6,8,2320,2,3,1,Normal,IR1,Detchd,259500
3230,6,5,1458,2,2,2,Normal,Reg,Detchd,176000
11616,5,5,1092,1,3,1,Normal,Reg,Attchd,139000
8536,5,5,1125,1,2,2,Partial,Reg,Attchd,155000
12376,7,5,3222,3,5,3,Normal,Reg,Attchd,320000
8461,6,5,1456,2,3,2,Partial,Reg,Attchd,163990
21453,6,5,988,1,1,2,Normal,IR1,Attchd,180000
6060,4,5,1123,1,3,1,Normal,Reg,Detchd,100000
9464,6,7,1080,1,3,1,Normal,Reg,Attchd,136000
7892,6,5,1199,2,2,2,Normal,Reg,Attchd,153900
17043,6,5,1586,2,3,2,Normal,IR1,Attchd,181000
6780,6,8,754,1,2,0,Normal,Reg,NA,84500
4928,6,5,958,2,2,2,Normal,IR1,Attchd,128000
4388,5,7,840,1,3,0,Normal,IR1,NA,87000
7590,6,5,1348,1,3,2,Normal,Reg,Attchd,155000
8973,5,7,1053,1,3,2,Abnorml,Reg,2Types,150000
14200,7,6,2157,2,4,2,Normal,Reg,Attchd,226000
12224,6,5,2054,2,3,2,Normal,IR1,BuiltIn,244000
7388,5,6,1327,1,3,2,Normal,Reg,Detchd,150750
6853,8,5,1296,2,2,2,Normal,IR1,Attchd,220000
10335,5,6,1721,2,3,2,Normal,IR1,Attchd,180000
10400,7,6,1682,2,3,2,Normal,Reg,Attchd,174000
10355,5,5,1214,2,3,1,Normal,IR1,Attchd,143000
11070,7,5,1959,3,5,3,Family,Reg,2Types,171000
9066,8,5,1852,2,3,3,Normal,IR1,Attchd,230000
15426,6,5,1764,2,3,2,Normal,IR1,Attchd,231500
10500,4,5,864,1,3,0,Normal,Reg,NA,115000
11645,7,5,1734,2,3,2,Normal,Reg,Attchd,260000
8520,5,4,1385,2,4,2,Normal,Reg,Detchd,166000
10335,7,5,1501,2,3,2,Normal,IR1,Attchd,204000
9100,5,5,1728,2,6,2,Abnorml,Reg,Detchd,125000
2522,6,5,1709,2,3,2,Normal,Reg,Detchd,130000
6120,5,7,875,1,2,1,Normal,Reg,Detchd,105000
9505,7,5,2035,2,3,2,Normal,IR1,BuiltIn,222500
7500,7,5,1080,1,3,0,Normal,Reg,NA,141000
6240,5,4,1344,1,3,1,Normal,Reg,Detchd,115000
10356,5,6,969,1,3,2,Normal,Reg,Attchd,122000
13891,8,5,1710,2,2,3,Partial,Reg,Attchd,372402
14803,6,5,1993,2,4,2,Normal,IR1,Attchd,190000
13500,6,7,1252,1,1,2,Normal,Reg,Attchd,235000
11340,6,5,1200,1,4,1,Family,Reg,Detchd,125000
9600,6,5,1096,1,2,0,Normal,Reg,NA,79000
7200,5,7,1040,1,2,2,Normal,Reg,Detchd,109500
12003,8,5,1968,2,4,3,Partial,Reg,BuiltIn,269500
12552,7,5,1947,2,3,2,Normal,Reg,Attchd,254900
19378,7,5,2462,2,4,2,Partial,IR1,Attchd,320000
11120,6,6,1232,2,3,2,Normal,IR1,Attchd,162500
13688,9,5,2668,2,3,3,Normal,IR1,BuiltIn,412500
12182,7,5,1541,2,3,2,Partial,Reg,Attchd,220000
5500,4,6,882,1,1,0,Normal,Reg,NA,103200
5400,6,7,1616,2,3,1,Normal,Reg,Detchd,152000
10106,5,7,1355,2,4,0,Normal,Reg,NA,127500
10708,5,5,1867,1,2,1,Normal,IR1,Attchd,190000
10562,8,5,2161,1,3,3,Partial,Reg,Attchd,325624
8244,7,5,1720,2,3,2,Normal,IR1,Attchd,183500
16669,8,6,1707,2,2,2,Normal,IR1,Attchd,228000
12358,5,6,1382,1,2,2,Normal,IR1,Detchd,128500
31770,6,5,1656,1,3,2,Normal,IR1,Attchd,215000
5306,7,7,1767,2,2,2,Normal,IR1,Attchd,239000
10197,6,5,1362,1,3,2,Normal,IR1,Attchd,163000
12416,6,5,1651,2,3,2,Normal,IR1,Attchd,184000
12615,6,7,2158,2,4,2,Normal,Reg,Attchd,243000
10029,6,5,2060,2,4,2,Normal,IR1,Attchd,211000
13650,5,5,1920,2,4,2,Normal,Reg,Attchd,172500
17423,9,5,2234,2,1,3,Partial,IR1,Attchd,501837
8520,5,6,968,1,2,2,Normal,Reg,Detchd,100000
2117,6,5,1525,2,3,2,Normal,Reg,Detchd,177000
7588,7,6,1802,1,4,1,Normal,Reg,Detchd,200100
9060,5,6,1340,1,3,1,Normal,Reg,Attchd,120000
11426,7,5,2082,2,3,2,Normal,Reg,Detchd,200000
7438,5,8,1252,1,3,2,Normal,IR1,Attchd,127000
22950,10,9,3608,2,4,3,Normal,IR2,Detchd,475000
9947,7,5,1217,2,3,2,Normal,IR1,Attchd,173000
10410,5,7,1656,2,3,1,Normal,Reg,Detchd,135000
7018,5,5,1224,0,2,2,Alloca,Reg,Detchd,153337
4923,8,5,1593,1,0,2,Normal,Reg,Attchd,286000
10570,8,8,2727,2,3,2,Normal,Reg,Detchd,315000
7472,7,9,1479,1,4,2,Normal,IR1,Attchd,184000
9017,7,5,1431,2,3,2,Normal,IR1,Attchd,192000
2522,7,5,1709,2,3,2,Normal,Reg,Detchd,130000
7180,5,7,864,1,3,1,Normal,IR1,Detchd,127000
2280,6,6,1456,2,3,2,Normal,Reg,Attchd,148500
9416,7,5,1726,2,3,3,Partial,Reg,Attchd,311872
25419,8,4,3112,2,4,2,Abnorml,Reg,Detchd,235000
5520,6,6,2229,1,5,0,Abnorml,Reg,NA,104000
9591,8,5,1713,2,3,3,Normal,Reg,Attchd,274900
8546,4,5,1121,2,2,2,Normal,Reg,Attchd,140000
10125,6,6,1279,2,3,2,Normal,Reg,Detchd,171500
7000,6,6,1310,2,2,1,Normal,Reg,Attchd,112000
4438,6,5,848,1,1,2,Normal,Reg,Attchd,149000
3500,5,7,1284,1,2,1,Normal,Reg,Detchd,110000
11851,7,5,1442,2,3,2,Normal,Reg,Attchd,180500
13673,5,5,1696,1,3,1,Normal,IR1,Attchd,143900
12493,4,5,1100,1,3,1,Normal,IR1,Attchd,141000
14364,7,5,2062,2,3,2,Normal,IR1,Attchd,277000
8250,6,7,1092,1,3,2,Normal,Reg,Attchd,145000
5604,5,6,864,1,2,0,Normal,Reg,NA,98000
10420,6,5,1212,2,3,2,Normal,Reg,Attchd,186000
8640,7,5,1852,2,3,2,Partial,Reg,Attchd,252678
13568,5,5,990,1,3,2,Normal,IR2,Attchd,156000
10900,6,7,1392,1,3,1,Normal,IR1,Attchd,161750
10011,5,6,1236,1,2,1,Normal,IR1,Attchd,134450
8450,7,5,1436,2,3,2,Normal,Reg,Attchd,210000
9906,4,4,1328,1,3,1,Family,Reg,Detchd,107000
15660,7,9,1954,1,3,2,Normal,IR1,Attchd,311500
3010,7,5,1248,2,2,2,Partial,Reg,Attchd,167240
8990,7,5,1498,2,2,2,Partial,IR1,Attchd,204900
8068,6,5,2267,2,4,2,Normal,IR1,BuiltIn,200000
11475,6,6,1552,2,3,2,Normal,Reg,Attchd,179900
10500,4,6,864,1,2,2,Abnorml,Reg,Detchd,97000
13472,10,5,2392,2,3,3,Normal,Reg,Attchd,386250
1680,5,5,1302,2,3,1,Abnorml,Reg,Detchd,112000
9950,7,5,2520,2,4,3,Abnorml,IR1,Attchd,290000
1869,6,6,987,1,2,1,Normal,Reg,Detchd,106000
8521,5,5,912,1,3,1,Normal,Reg,Detchd,125000
3182,7,5,1555,2,2,2,Normal,Reg,Attchd,192500
8760,6,6,1194,1,3,1,Normal,Reg,Attchd,148000
15138,8,5,2794,2,4,3,Normal,IR1,Attchd,403000
1680,6,5,987,1,2,1,Normal,Reg,Attchd,94500
10650,5,6,894,1,3,1,Normal,Reg,Attchd,128200
7851,6,5,1960,2,4,2,Normal,Reg,BuiltIn,216500
1680,6,3,987,1,2,1,Normal,Reg,Detchd,89500
8773,7,5,1414,2,3,2,Normal,Reg,Attchd,185500
9453,7,7,1744,2,3,2,Normal,IR1,Attchd,194500
12030,8,5,1694,2,3,3,Partial,Reg,Attchd,318000
8741,6,4,1487,1,3,1,Normal,Reg,Detchd,113000
9000,8,5,1566,2,3,2,Normal,Reg,Attchd,262500
3880,5,9,866,1,2,0,Normal,Reg,NA,110500
5000,5,4,1440,1,3,1,Normal,Reg,Attchd,79000
10762,6,6,1217,1,3,1,Normal,Reg,Attchd,120000
8880,7,5,2110,2,3,2,Normal,IR1,Attchd,205000
10400,7,5,1872,2,3,2,Normal,Reg,Attchd,241500
9142,6,8,1928,2,4,1,Normal,Reg,Detchd,137000
11310,6,5,1375,1,2,2,Normal,Reg,Attchd,140000
11317,7,5,1668,2,3,2,Normal,Reg,Attchd,180000
159000,6,7,2144,2,4,2,Normal,IR2,Attchd,277000
5350,3,2,1306,1,3,0,Normal,IR1,NA,76500
4750,8,5,1625,2,2,2,Family,IR1,Attchd,235000
8366,6,5,1640,2,3,2,Normal,IR1,Attchd,173000
9350,6,7,1302,2,3,1,Normal,Reg,Attchd,158000
8400,5,6,1314,1,3,1,Normal,Reg,Attchd,145000
8738,7,5,2291,2,4,2,Normal,IR1,BuiltIn,230000
8791,6,5,1728,2,3,2,Normal,IR1,Attchd,207500
8814,7,5,1604,2,3,2,Abnorml,Reg,Attchd,220000
12435,7,5,1792,2,3,2,Normal,Reg,Attchd,231500
12702,5,5,882,1,2,1,Normal,Reg,Detchd,97000
19296,6,5,1382,1,3,2,Normal,Reg,Attchd,176000
9588,8,5,2574,2,3,3,Partial,IR1,BuiltIn,276000
8471,6,7,1212,1,3,2,Normal,IR1,Attchd,151000
5500,5,7,1316,1,3,2,Normal,Reg,Detchd,130000
5232,5,5,764,1,2,2,Normal,IR3,Detchd,73000
12090,6,6,1422,2,3,2,Normal,IR1,Attchd,175500
11207,6,5,1511,2,3,2,Normal,IR1,Attchd,185000
8400,5,8,2192,2,4,1,Normal,Reg,Detchd,179500
6900,5,6,778,1,2,1,Normal,Reg,Detchd,120500
7917,6,7,1113,1,3,1,Normal,IR1,Attchd,148000
10728,8,5,1939,2,3,3,Partial,Reg,Attchd,266000
39104,7,7,1363,1,2,2,Normal,IR1,Attchd,241500
11764,8,7,2270,2,4,3,Normal,IR1,Attchd,290000
9600,6,6,1632,2,3,1,Normal,Reg,Attchd,139000
8314,5,7,816,1,2,1,Normal,Reg,Attchd,124500
7264,7,7,1548,2,3,2,Normal,Reg,Detchd,205000
9196,7,5,1560,2,3,2,Normal,IR1,Attchd,201000
19138,4,5,864,1,2,2,Normal,Reg,Detchd,141000
14450,9,5,2121,2,3,3,Partial,Reg,Attchd,415298
10005,7,5,2022,2,4,2,Normal,Reg,Attchd,192000
11287,7,6,1982,2,3,2,Normal,Reg,Attchd,228500
7200,6,5,1262,2,2,2,Partial,Reg,Attchd,185000
5063,7,5,1314,2,2,2,Normal,Reg,Attchd,207500
9612,8,5,1468,2,3,3,Partial,Reg,Attchd,244600
8012,6,5,1575,2,2,2,Normal,Reg,Attchd,179200
4251,7,5,1250,2,2,2,Partial,IR1,Detchd,164700
9786,6,7,1734,1,3,2,Normal,IR1,Attchd,159000
8125,4,4,858,1,3,0,Normal,IR1,NA,88000
9819,5,5,900,1,3,1,Normal,IR1,Detchd,122000
8730,6,7,1396,1,3,1,Normal,Reg,Detchd,153575
15611,8,5,1919,2,3,2,Partial,Reg,Attchd,233230
5687,5,6,1716,2,6,0,Normal,Reg,NA,135900
11409,5,4,1716,1,3,1,Normal,Reg,Attchd,131000
16659,7,7,2263,2,3,2,Normal,IR1,Attchd,235000
9600,6,5,1644,1,3,2,Normal,Reg,Attchd,167000
7937,6,6,1003,1,3,2,Normal,IR1,Detchd,142500
13710,5,5,1558,1,4,1,Normal,Reg,Attchd,152000
7399,7,5,1950,2,3,2,Normal,IR1,Detchd,239000
11700,6,6,1743,1,3,2,Normal,Reg,Attchd,175000
14000,6,8,1152,1,3,1,Family,Reg,Attchd,158500
15750,5,5,1336,1,2,1,Normal,Reg,Attchd,157000
16226,8,5,2452,2,4,2,Normal,IR3,BuiltIn,267000
13704,7,5,1541,2,3,3,Normal,IR1,Attchd,205000
9800,5,7,894,1,3,2,Abnorml,Reg,Attchd,149900
18386,7,9,3493,3,3,3,Normal,Reg,Attchd,295000
10386,8,5,2000,2,3,3,Normal,Reg,Attchd,305900
13474,7,5,2243,2,4,3,Normal,Reg,Attchd,225000
7920,6,7,1406,1,3,0,Normal,IR1,NA,89500
12342,4,5,861,1,1,2,Normal,IR1,Detchd,82500
12378,9,5,1944,2,3,3,Normal,IR1,Attchd,360000
7685,6,5,1501,2,3,2,Normal,IR1,Attchd,165600
8000,6,6,972,1,2,1,Normal,Reg,Detchd,132000
7800,5,7,1118,1,3,2,Normal,Reg,Detchd,119900
215245,7,5,2036,2,3,2,Normal,IR3,Attchd,375000
9600,7,7,1641,1,3,2,Normal,Reg,Detchd,178000
7795,7,5,1432,2,3,2,Normal,IR1,Attchd,188500
13005,7,7,2353,2,4,2,Normal,IR1,Attchd,260000
9000,8,5,1959,2,3,3,Normal,Reg,Attchd,270000
9900,7,5,2646,2,4,3,Normal,Reg,Attchd,260000
14115,7,5,1472,2,3,2,Normal,Reg,Attchd,187500
16259,9,5,2596,3,4,3,Partial,Reg,Attchd,342643
12099,8,5,2468,2,4,3,Normal,IR1,BuiltIn,354000
10380,7,5,2730,2,4,2,Normal,IR1,Attchd,301000
5820,3,8,1163,1,3,1,Normal,Reg,Attchd,126175
11275,7,7,2978,2,5,2,Normal,Reg,BuiltIn,242000
5000,5,6,803,1,2,2,Normal,Reg,Detchd,87000
10846,8,5,1719,1,1,2,Normal,IR1,Attchd,324000
11600,6,5,1383,1,3,1,Normal,Reg,Attchd,145250
11888,6,6,2134,2,5,2,Normal,IR1,Detchd,214500
6402,5,5,1192,1,3,1,Normal,Reg,Detchd,78000
10624,5,4,1728,2,6,1,Normal,IR1,Detchd,119000
8176,5,6,1056,1,3,1,Normal,Reg,Attchd,139000
10655,8,5,1629,2,3,3,Normal,IR1,Attchd,284000
8198,7,5,1358,2,2,2,Normal,Reg,Attchd,207000
9042,6,5,1638,2,3,2,Normal,IR1,Attchd,192000
164660,5,6,1786,2,3,2,Normal,IR1,Attchd,228950
14157,9,5,1922,2,3,3,Normal,IR1,Attchd,377426
9135,7,5,1536,2,3,2,Normal,Reg,Attchd,214000
14145,7,7,1621,2,3,2,Normal,Reg,Attchd,202500
12400,6,7,1215,1,3,1,Normal,IR1,Attchd,155000
14191,8,5,1908,2,4,2,Normal,Reg,Attchd,202900
8400,4,4,841,1,2,1,Normal,Reg,CarPort,82000
8544,3,4,1040,2,2,2,Normal,Reg,Detchd,87500
8849,9,5,1684,2,2,2,Normal,IR1,Attchd,266000
2592,5,3,1112,1,3,1,Normal,Reg,Attchd,85000
6435,6,5,1577,1,3,1,Normal,Reg,Detchd,140200
12772,6,8,958,1,2,1,Normal,IR1,Attchd,151500
17600,6,5,1478,2,3,2,Normal,IR1,Attchd,157500
2448,7,5,1626,2,2,2,Normal,Reg,BuiltIn,154000
20431,9,5,2728,2,4,3,Partial,IR2,Attchd,437154
7820,9,5,1869,2,2,2,Partial,IR1,Attchd,318061
5271,7,5,1453,1,2,2,Abnorml,IR1,Attchd,190000
9084,5,6,1111,1,3,1,Normal,Reg,Detchd,95000
8520,6,8,720,1,2,2,Normal,Reg,Detchd,105900
8400,6,5,1595,1,2,1,Normal,Reg,Attchd,140000
11249,6,5,1200,2,3,2,Normal,IR2,Attchd,177500
9248,6,6,1167,2,3,2,Normal,IR1,Attchd,173000
4224,5,5,1142,1,3,2,Normal,Reg,Attchd,134000
6930,5,4,1352,1,3,1,Abnorml,IR1,BuiltIn,130000
12011,8,5,1924,2,3,2,Normal,IR1,Attchd,280000
7540,6,6,912,1,2,2,Normal,IR1,Attchd,156000
9144,5,5,1505,1,3,1,Normal,Reg,Detchd,145000
7301,7,5,1922,3,4,2,Normal,Reg,BuiltIn,198500
1680,6,8,987,1,2,1,Normal,Reg,Detchd,118000
18800,6,5,1574,2,3,2,Normal,IR1,Attchd,190000
10690,5,7,1344,1,3,1,Normal,Reg,Detchd,147000
9500,6,5,1394,1,3,2,Normal,IR1,Attchd,159000
9150,6,5,1431,1,3,1,Normal,IR1,Basment,165000
7800,5,6,1268,1,2,1,Normal,Reg,Attchd,132000
9830,5,7,1287,1,3,2,Normal,IR1,Detchd,162000
8121,6,5,1664,2,3,2,Normal,IR1,Attchd,172400
17120,4,4,1588,2,4,2,Normal,Reg,Detchd,134432
7175,6,5,752,1,2,1,Normal,Reg,Attchd,125000
10634,5,6,1319,1,3,1,Normal,Reg,Attchd,123000
8200,7,5,1928,2,4,2,Normal,Reg,BuiltIn,219500
10020,1,1,904,0,1,0,Normal,IR1,NA,61000
8846,5,5,914,1,2,2,Normal,IR1,Detchd,148000
11143,8,5,2466,3,4,2,Normal,IR1,Attchd,340000
11394,9,2,1856,1,1,3,Partial,Reg,Attchd,394432
8123,6,5,1800,2,3,2,Normal,IR1,Attchd,179000
5000,5,6,1691,2,3,1,Normal,Reg,Detchd,127000
7200,7,5,1301,2,2,2,Partial,Reg,Attchd,187750
9245,7,5,1797,2,3,2,Normal,IR1,Attchd,213500
9000,6,3,784,1,2,2,Normal,Reg,Detchd,76000
53107,6,5,1953,2,3,2,Normal,IR2,Attchd,240000
3182,8,5,1269,2,2,2,Normal,Reg,Attchd,192000
8410,5,3,1184,1,5,0,AdjLand,Reg,NA,81000
7200,6,6,1125,1,3,1,Abnorml,Reg,Detchd,125000
9382,7,5,1479,2,3,2,Normal,IR1,Attchd,191000
12474,10,5,2332,2,3,3,Partial,Reg,BuiltIn,426000
8405,5,8,1367,1,4,1,Normal,Reg,Detchd,119000
12209,6,5,1961,2,3,2,Normal,IR1,BuiltIn,215000
8339,5,7,882,1,3,1,Normal,IR1,Attchd,106500
7446,4,5,788,1,2,0,Abnorml,Reg,NA,100000
10134,5,6,1034,1,2,1,Normal,Reg,Detchd,109000
9571,5,6,1144,1,3,1,Normal,Reg,Attchd,129000
7200,5,5,894,1,2,2,Normal,Reg,Detchd,123000
7590,5,5,1812,2,4,1,Normal,Reg,Attchd,169500
8967,5,2,1077,1,2,1,Abnorml,Reg,Detchd,67000
8125,7,5,1550,2,2,2,Normal,Reg,Attchd,241000
14963,8,5,1288,1,1,2,Normal,IR2,Attchd,245500
8767,7,5,1310,2,3,2,Partial,IR1,Attchd,164990
10200,5,8,672,1,2,1,Normal,Reg,Detchd,108000
12090,8,5,2263,2,4,2,Abnorml,Reg,BuiltIn,258000
10364,6,5,1572,2,3,2,Normal,IR1,BuiltIn,168000
9991,4,4,1620,2,3,2,Normal,IR1,Attchd,150000
10480,6,5,1639,1,3,1,Normal,Reg,Detchd,115000
15576,6,7,1680,2,4,1,Normal,Reg,Attchd,177000
14154,7,5,2172,2,3,3,Partial,Reg,Attchd,280000
10800,8,5,2078,2,3,3,Partial,Reg,Attchd,339750
9571,5,3,1276,1,3,1,Abnorml,Reg,Attchd,60000
34650,5,5,1056,1,3,2,Normal,Reg,Attchd,145000
4403,7,5,1478,2,2,2,Partial,IR2,Attchd,222000
8960,5,6,1028,1,2,2,Normal,Reg,Detchd,115000
11228,7,5,2097,2,3,3,Normal,IR2,Attchd,228000
8899,7,5,1340,2,3,2,Partial,IR1,Attchd,181134
7844,6,7,1400,1,3,2,Normal,Reg,Attchd,149500
22420,6,6,2624,2,4,3,Normal,IR1,Detchd,239000
8160,5,6,1134,1,3,1,AdjLand,Reg,Detchd,126000
8450,5,6,1056,1,3,1,Normal,Reg,Attchd,142000
7060,7,5,1344,2,2,4,Alloca,Reg,Attchd,206300
16635,6,7,1602,2,3,2,Normal,IR1,Attchd,215000
21750,5,5,988,1,2,2,Normal,Reg,Attchd,113000
9200,8,5,2630,2,4,3,Normal,Reg,Attchd,315000
9000,6,5,1196,1,2,1,Normal,Reg,Attchd,139000
3378,7,8,1389,1,3,1,Normal,Reg,Detchd,135000
12800,7,5,1644,2,2,2,Normal,Reg,Attchd,275000
8593,4,6,907,1,3,1,Normal,IR1,Detchd,109008
6762,7,5,1208,2,2,2,Partial,Reg,Attchd,195400
11457,6,5,1412,2,3,2,Normal,IR1,Attchd,175000
1680,6,5,987,1,2,1,Abnorml,Reg,Detchd,85400
5586,6,7,1198,1,4,0,Abnorml,IR1,NA,79900
1920,5,5,1365,1,2,2,Normal,Reg,Detchd,122500
